0 0	2 82	1 0 -1 -1 -1 -1 -1 -1 
1 0	1 81	2 0 -1 -1 -1 -1 -1 -1 
2 0	2 82	3 0 -1 -1 -1 -1 -1 -1 
3 0	1 81	4 0 -1 -1 -1 -1 -1 -1 
4 0	1 80	5 0 -1 -1 -1 -1 -1 -1 
5 0	2 81	6 0 -1 -1 -1 -1 -1 -1 
6 0	1 80	7 0 -1 -1 -1 -1 -1 -1 
7 0	2 81	8 0 -1 -1 -1 -1 -1 -1 
8 0	1 80	8 1 -1 -1 -1 -1 -1 -1 
9 0	2 81	8 0 -1 -1 -1 -1 -1 -1 
0 1	1 81	0 0 -1 -1 -1 -1 -1 -1 
1 1	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
2 1	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
3 1	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
4 1	4 81	4 0 -1 -1 -1 -1 -1 -1 
5 1	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
6 1	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
7 1	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
8 1	2 81	8 2 -1 -1 -1 -1 -1 -1 
9 1	1 80	9 2 -1 -1 -1 -1 -1 -1 
0 2	2 82	0 1 -1 -1 -1 -1 -1 -1 
1 2	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
2 2	1 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
3 2	1 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
4 2	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
5 2	1 1	6 2 -1 -1 -1 -1 -1 -1 
6 2	1 0	-1 -1 -1 -1 -1 -1 -1 -1 
7 2	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
8 2	1 80	9 2 -1 -1 -1 -1 -1 -1 
9 2	2 81	9 3 -1 -1 -1 -1 -1 -1 
0 3	1 81	0 2 -1 -1 -1 -1 -1 -1 
1 3	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
2 3	1 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
3 3	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
4 3	1 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
5 3	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
6 3	1 1	6 2 -1 -1 -1 -1 -1 -1 
7 3	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
8 3	2 81	8 2 -1 -1 -1 -1 -1 -1 
9 3	1 80	8 3 -1 -1 -1 -1 -1 -1 
