0 0	2 32	1 0 -1 -1 -1 -1 -1 -1 
1 0	1 31	2 0 -1 -1 -1 -1 -1 -1 
2 0	2 32	3 0 -1 -1 -1 -1 -1 -1 
3 0	1 31	4 0 -1 -1 -1 -1 -1 -1 
4 0	2 32	5 0 -1 -1 -1 -1 -1 -1 
5 0	1 31	6 0 -1 -1 -1 -1 -1 -1 
6 0	2 32	7 0 -1 -1 -1 -1 -1 -1 
7 0	1 31	8 0 -1 -1 -1 -1 -1 -1 
8 0	1 30	8 1 -1 -1 -1 -1 -1 -1 
9 0	2 31	8 0 -1 -1 -1 -1 -1 -1 
0 1	1 31	0 0 -1 -1 -1 -1 -1 -1 
1 1	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
2 1	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
3 1	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
4 1	1 31	4 0 -1 -1 -1 -1 -1 -1 
5 1	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
6 1	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
7 1	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
8 1	2 31	8 2 -1 -1 -1 -1 -1 -1 
9 1	1 30	9 2 -1 -1 -1 -1 -1 -1 
0 2	2 32	0 1 -1 -1 -1 -1 -1 -1 
1 2	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
2 2	1 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
3 2	1 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
4 2	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
5 2	1 1	6 2 -1 -1 -1 -1 -1 -1 
6 2	1 0	-1 -1 -1 -1 -1 -1 -1 -1 
7 2	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
8 2	1 30	9 2 -1 -1 -1 -1 -1 -1 
9 2	2 31	9 3 -1 -1 -1 -1 -1 -1 
0 3	1 31	0 2 -1 -1 -1 -1 -1 -1 
1 3	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
2 3	1 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
3 3	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
4 3	1 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
5 3	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
6 3	1 1	6 2 -1 -1 -1 -1 -1 -1 
7 3	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
8 3	2 31	8 2 -1 -1 -1 -1 -1 -1 
9 3	1 30	8 3 -1 -1 -1 -1 -1 -1 
0 4	2 32	0 3 -1 -1 -1 -1 -1 -1 
1 4	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
2 4	1 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
3 4	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
4 4	1 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
5 4	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
6 4	1 2	6 3 -1 -1 -1 -1 -1 -1 
7 4	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
8 4	1 30	8 5 -1 -1 -1 -1 -1 -1 
9 4	2 31	8 4 -1 -1 -1 -1 -1 -1 
0 5	1 31	0 4 -1 -1 -1 -1 -1 -1 
1 5	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
2 5	1 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
3 5	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
4 5	1 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
5 5	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
6 5	1 3	6 4 -1 -1 -1 -1 -1 -1 
7 5	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
8 5	2 31	8 6 -1 -1 -1 -1 -1 -1 
9 5	1 30	8 5 -1 -1 -1 -1 -1 -1 
0 6	2 32	0 5 -1 -1 -1 -1 -1 -1 
1 6	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
2 6	1 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
3 6	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
4 6	1 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
5 6	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
6 6	1 4	6 5 -1 -1 -1 -1 -1 -1 
7 6	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
8 6	1 30	9 6 -1 -1 -1 -1 -1 -1 
9 6	2 31	9 5 9 7 -1 -1 -1 -1 
0 7	1 31	0 6 -1 -1 -1 -1 -1 -1 
1 7	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
2 7	1 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
3 7	1 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
4 7	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
5 7	1 6	6 7 -1 -1 -1 -1 -1 -1 
6 7	1 5	6 6 -1 -1 -1 -1 -1 -1 
7 7	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
8 7	2 31	8 8 9 7 8 6 -1 -1 
9 7	1 30	9 8 -1 -1 -1 -1 -1 -1 
0 8	2 32	0 7 -1 -1 -1 -1 -1 -1 
1 8	1 31	0 8 -1 -1 -1 -1 -1 -1 
2 8	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
3 8	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
4 8	2 32	4 9 -1 -1 -1 -1 -1 -1 
5 8	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
6 8	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
7 8	4 31	7 9 -1 -1 -1 -1 -1 -1 
8 8	1 30	9 8 -1 -1 -1 -1 -1 -1 
9 8	2 31	9 9 -1 -1 -1 -1 -1 -1 
0 9	1 31	0 8 -1 -1 -1 -1 -1 -1 
1 9	2 32	0 9 1 8 2 9 -1 -1 
2 9	1 31	3 9 -1 -1 -1 -1 -1 -1 
3 9	2 32	4 9 -1 -1 -1 -1 -1 -1 
4 9	1 31	5 9 -1 -1 -1 -1 -1 -1 
5 9	2 32	6 9 -1 -1 -1 -1 -1 -1 
6 9	1 31	7 9 -1 -1 -1 -1 -1 -1 
7 9	2 32	8 9 -1 -1 -1 -1 -1 -1 
8 9	2 31	8 8 -1 -1 -1 -1 -1 -1 
9 9	1 30	8 9 -1 -1 -1 -1 -1 -1 
